11_2011_000996 11_2010_001853
11_2009_001057 11_2010_004778
11_2011_003050 11_2009_003251
11_2009_003154 11_2009_000546
11_2010_000177 11_2009_000759
11_2010_000178 11_2009_000247
11_2010_001823 11_2009_004769
11_2011_002358 11_2009_002139
11_2011_000226 11_2009_000058
11_2009_002139 11_2008_000835
11_2009_003835 11_2010_002032
11_2009_000058 11_2008_006705
11_2010_004231 11_2008_003224
11_2007_001677 11_2008_000835
11_2008_001230 11_2010_005398
11_2008_003224 11_2008_008335
11_2009_004859 11_2011_002394
11_2010_005825 11_2011_001208
11_2009_003468 11_2008_001230
11_2009_001319 11_2011_000257
11_2011_001058 11_2011_000257
11_2011_003049 11_2009_003507
11_2011_001785 11_2010_000669
11_2009_005145 11_2011_002881
11_2011_000731 11_2011_002911
11_2009_004769 11_2008_002032
11_2009_001339 11_2010_002032
11_2008_007166 11_2009_000811
11_2011_002838 11_2011_002488
11_2008_006311 11_2009_002952
11_2011_002974 11_2009_001339
11_2009_005278 11_2010_001343
11_2010_004910 11_2008_005608
11_2011_002579 11_2011_002488
11_2008_008335 11_2009_001057
11_2011_002798 11_2010_004278
11_2011_000257 11_2009_000546
11_2010_000821 11_2009_002612
11_2007_004166 11_2009_002415
11_2011_001215 11_2008_002032
11_2008_000835 11_2009_000141
11_2010_004278 11_2007_004166
11_2009_003253 11_2011_002985
11_2011_002920 11_2009_003078
11_2011_002881 11_2010_005985
11_2011_000016 11_2010_001455
11_2008_006705 11_2010_001823
11_2007_005086 11_2009_003361
11_2011_000338 11_2008_002864
11_2010_001682 11_2009_004769
11_2011_003066 11_2010_000821
11_2010_004229 11_2007_005086
11_2011_002748 11_2011_001330
11_2009_003251 11_2010_004910
11_2009_002415 11_2009_003361
11_2008_000573 11_2009_004859
11_2009_002612 11_2010_005825
11_2011_001330 11_2009_001057
11_2007_007007 11_2011_000745
11_2009_005171 11_2009_004769
11_2011_000196 11_2007_007007
11_2009_000257 11_2008_002210
11_2010_002032 11_2008_002210
11_2010_005398 11_2011_001305
11_2010_001645 11_2008_008474
11_2009_003507 11_2008_006969
11_2009_003361 11_2009_003973
11_2011_001221 11_2010_002880
11_2011_002075 11_2011_001221
11_2008_004851 11_2009_005145
11_2010_000269 11_2010_003520
11_2011_002488 11_2009_002139
11_2010_004778 11_2008_008773
11_2010_001261 11_2009_003361
11_2010_005666 11_2009_001057
11_2009_000247 11_2009_003835
11_2011_001008 11_2008_003245
11_2008_008474 11_2008_002508
11_2009_003078 11_2007_004166
11_2010_001455 11_2011_001058
11_2008_002079 11_2009_000546
11_2010_000669 11_2011_002614
11_2011_002614 11_2010_004778
11_2009_004419 11_2011_000338
11_2008_002567 11_2010_005938
11_2008_002032 11_2011_001305
11_2008_006969 11_2009_000831
11_2009_003973 11_2008_006969
11_2008_008773 11_2008_005342
11_2009_000546 11_2008_006311
11_2011_001920 11_2007_001677
11_2008_002864 11_2010_001261
11_2008_001451 11_2011_003066
11_2009_003888 11_2008_000573
11_2008_008363 11_2010_000669
11_2009_002952 11_2008_005342
11_2011_000919 11_2009_004419
11_2008_005570 11_2010_005985
11_2011_002911 11_2010_005764
11_2009_002107 11_2011_002798
12_2010_005384 12_2008_005703
12_2008_005652 12_2009_001553
12_2010_002972 12_2010_005735
12_2008_002859 12_2008_000059
12_2008_007509 12_2008_004402
12_2009_003538 12_2011_001198
12_2010_000263 12_2010_006076
12_2010_005637 12_2009_001916
12_2010_001756 12_2010_004722
12_2010_005628 12_2010_005384
12_2010_005201 12_2010_002022
12_2008_005798 12_2008_002317
12_2009_001553 12_2010_000731
12_2010_004722 12_2010_003734
12_2010_003300 12_2010_000227
12_2010_004279 12_2009_002259
12_2010_003673 12_2010_006079
12_2008_005980 12_2010_000162
12_2009_003928 12_2010_004161
12_2010_002022 12_2009_003271
12_2010_002644 12_2008_006870
12_2008_001895 12_2009_001778
12_2008_002598 12_2008_007509
12_2010_003043 12_2010_005665
12_2008_001854 12_2009_002155
12_2009_003225 12_2011_000202
12_2010_005292 12_2009_004645
12_2009_004179 12_2008_003443
12_2011_000428 12_2008_000099
12_2008_000268 12_2010_003007
12_2010_002679 12_2010_005375
12_2010_005629 12_2009_004411
12_2008_004975 12_2010_001032
12_2011_002765 12_2009_000496
12_2010_004417 12_2010_003007
12_2009_004020 12_2008_004402
12_2009_002093 12_2010_004179
12_2008_000934 12_2008_003133
12_2009_002155 12_2008_005563
12_2008_001862 12_2010_005665
12_2010_000266 12_2011_001288
12_2010_000227 12_2009_002093
12_2008_000099 12_2008_004662
12_2008_008578 12_2009_003271
12_2010_005049 12_2009_001553
12_2008_006421 12_2010_004161
12_2008_002913 12_2010_002318
12_2011_000202 12_2008_003238
12_2008_007057 12_2008_007664
12_2008_004058 12_2008_000330
12_2008_006239 12_2009_004483
12_2008_004402 12_2008_007567
12_2008_003443 12_2008_007710
12_2008_007664 12_2009_001553
12_2008_004745 12_2008_006421
12_2010_001635 12_2011_002098
12_2010_002979 12_2010_000577
12_2009_002807 12_2009_003225
12_2009_002333 12_2008_003238
12_2010_000384 12_2008_002267
12_2008_007581 12_2010_005637
12_2011_001714 12_2010_000805
12_2009_000321 12_2007_000063
12_2010_001185 12_2011_002900
12_2010_005658 12_2010_002534
12_2010_001776 12_2009_004020
12_2010_005008 12_2010_000263
12_2010_001795 12_2010_005406
12_2010_002817 12_2010_000124
12_2009_002177 12_2010_000384
12_2008_004297 12_2009_003627
12_2010_005735 12_2009_000499
12_2009_000779 12_2008_001420
12_2009_001916 12_2008_001420
12_2010_004017 12_2010_004366
12_2007_001763 12_2010_004017
12_2010_006079 12_2008_000268
12_2008_005964 12_2010_005018
12_2010_003477 12_2010_006042
12_2010_001032 12_2009_001577
12_2008_005703 12_2009_004483
12_2009_003627 12_2010_002644
12_2010_004304 12_2010_001776
12_2008_004662 12_2009_000779
12_2009_001960 12_2007_001763
12_2009_002464 12_2009_004020
12_2008_000330 12_2009_001553
12_2008_006716 12_2010_005134
12_2011_002110 12_2009_003513
12_2008_004647 12_2008_007509
12_2010_002318 12_2010_001635
12_2010_005149 12_2010_005274
12_2010_003894 12_2008_004745
12_2009_000499 12_2010_005049
12_2008_006870 12_2009_004277
12_2010_001355 12_2010_005585
12_2008_005563 12_2010_004417
12_2008_002116 12_2010_005149
12_2010_000045 12_2010_002527
12_2011_003010 12_2009_001605
13_2008_003344 13_2011_002341
13_2008_001645 13_2009_000843
13_2009_000529 13_2008_006434
13_2010_005784 13_2008_002860
13_2010_002340 13_2007_006944
13_2008_006650 13_2008_008393
13_2007_005248 13_2008_006779
13_2008_003020 13_2009_003128
13_2007_007109 13_2010_001856
13_2008_005215 13_2008_006779
13_2011_002063 13_2009_003338
13_2008_003242 13_2008_004868
13_2009_004530 13_2011_001956
13_2008_001544 13_2009_003855
13_2008_001992 13_2009_003338
13_2007_000799 13_2010_002183
13_2008_006434 13_2008_005642
13_2008_008147 13_2009_003976
13_2008_001542 13_2010_001503
13_2009_003338 13_2010_005784
13_2008_005365 13_2008_005215
13_2010_001675 13_2011_000396
13_2011_002341 13_2011_000343
13_2008_004868 13_2011_001080
13_2010_002221 13_2007_007109
13_2010_001503 13_2008_001992
13_2011_000343 13_2009_002477
13_2008_006909 13_2008_003020
13_2009_003261 13_2009_003365
13_2008_008393 13_2008_008431
13_2008_000880 13_2009_003976
13_2008_006779 13_2008_004868
13_2008_005408 13_2009_002046
13_2011_002999 13_2008_003043
13_2007_000783 13_2007_007109
13_2008_003316 13_2008_006909
13_2009_002046 13_2008_008488
13_2008_003018 13_2008_001992
13_2008_001382 13_2008_005365
13_2010_005417 13_2010_001503
13_2008_006390 13_2008_003316
13_2011_002047 13_2011_001251
13_2008_008431 13_2011_002341
13_2007_006944 13_2008_001544
13_2009_003855 13_2007_001420
13_2009_003365 13_2008_005934
13_2011_001956 13_2008_006779
13_2011_000396 13_2008_003344
13_2010_002161 13_2008_004868
13_2008_002665 13_2010_005338
13_2008_005934 13_2008_002665
13_2008_002860 13_2010_002183
13_2010_002183 13_2011_000343
13_2010_001856 13_2008_008488
13_2011_001080 13_2007_005248
13_2008_007424 13_2010_002168
13_2011_000418 13_2008_002665
13_2008_005642 13_2008_001544
13_2008_008500 13_2011_001080
13_2010_003280 13_2009_003897
13_2008_003043 13_2008_006909
13_2011_001251 13_2008_006434
13_2010_005338 13_2009_003365
13_2008_003805 13_2008_008500
13_2009_005161 13_2008_008431
13_2007_001420 13_2008_003283
13_2009_002477 13_2011_000343
13_2008_005928 13_2009_000843
13_2009_003128 13_2008_008431
13_2009_003976 13_2008_006434
13_2008_004430 13_2009_000843
13_2009_003897 13_2009_004530
13_2009_000843 13_2010_005338
13_2010_002948 13_2009_003855
13_2010_005471 13_2011_001956
13_2009_002182 13_2009_002477
13_2008_008488 13_2010_005417
13_2007_004902 13_2008_006434
13_2010_002168 13_2010_001856
13_2008_003283 13_2009_003261
13_2009_003305 13_2008_008147
13_2008_000008 13_2007_000799
14_2011_002093 14_2008_006042
14_2010_005359 14_2010_003316
14_2008_003394 14_2007_005212
14_2009_005086 14_2008_004940
14_2010_003316 14_2010_005346
14_2010_002991 14_2009_002993
14_2008_006898 14_2011_000332
14_2011_000637 14_2008_001699
14_2009_001061 14_2007_007688
14_2008_005213 14_2008_000563
14_2010_001828 14_2008_006458
14_2009_000637 14_2011_000455
14_2009_002993 14_2007_009139
14_2007_005173 14_2008_005049
14_2008_007181 14_2009_003846
14_2008_007241 14_2011_000560
14_2008_006874 14_2008_006857
14_2009_000515 14_2008_008218
14_2009_001827 14_2010_002991
14_2009_003846 14_2009_001320
14_2007_005314 14_2008_006857
14_2009_001755 14_2008_007344
14_2008_006458 14_2009_003846
14_2007_007688 14_2010_002991
14_2008_007090 14_2008_006441
14_2009_005147 14_2008_002401
14_2009_003722 14_2007_003367
14_2010_004697 14_2011_003063
14_2008_008218 14_2008_002115
14_2011_000314 14_2010_003529
14_2008_007344 14_2010_004854
14_2010_003529 14_2008_007336
14_2009_003576 14_2009_002806
14_2008_000378 14_2011_000314
14_2007_006647 14_2008_008288
14_2008_001007 14_2008_002948
14_2007_009691 14_2008_001631
14_2008_001631 14_2008_008218
14_2008_002696 14_2010_006028
14_2009_004756 14_2008_002401
14_2009_000276 14_2010_002128
14_2011_000560 14_2010_000035
14_2008_005033 14_2008_008288
14_2008_008288 14_2010_003529
14_2008_001699 14_2008_008218
14_2011_001524 14_2009_002894
14_2008_001177 14_2007_005173
14_2009_002595 14_2010_003529
14_2010_004854 14_2010_002128
14_2008_002115 14_2008_007344
14_2008_002047 14_2007_006647
14_2010_002128 14_2008_002115
14_2007_008801 14_2009_004756
14_2008_006989 14_2008_000563
14_2007_003367 14_2009_005086
14_2010_005346 14_2008_006989
14_2009_002894 14_2011_000315
14_2007_007355 14_2008_004617
14_2009_001320 14_2009_002746
14_2010_003856 14_2008_004970
14_2009_001443 14_2009_004849
14_2008_004832 14_2008_001007
14_2010_002408 14_2008_002191
14_2010_000035 14_2007_007688
14_2008_004617 14_2009_000276
14_2008_006441 14_2010_002991
14_2011_000332 14_2008_002401
14_2009_002746 14_2009_003068
14_2007_001709 14_2008_006458
