11_2007_006241 11_2009_003818
11_2010_001680 11_2009_002088
11_2008_000418 11_2011_000492
11_2011_000598 11_2009_003654
11_2008_006133 11_2008_004289
11_2011_002556 11_2010_002070
11_2009_002444 11_2007_008932
11_2008_003881 11_2010_005349
11_2009_003654 11_2008_000418
11_2009_002978 11_2010_000001
11_2009_004263 11_2011_002814
11_2009_005016 11_2010_005901
11_2010_001579 11_2011_001819
11_2011_000827 11_2011_002556
11_2009_004532 11_2008_003753
11_2011_003242 11_2008_004289
11_2008_005257 11_2010_004597
11_2010_002811 11_2009_005016
11_2009_004394 11_2010_002714
11_2007_001439 11_2010_003325
11_2007_005790 11_2010_003976
11_2010_004290 11_2008_006108
11_2008_001077 11_2007_003011
11_2008_001809 11_2010_002639
11_2011_002147 11_2008_002892
11_2010_002269 11_2008_001083
11_2009_001754 11_2009_002978
11_2008_003753 11_2009_005080
11_2009_002055 11_2010_004597
11_2007_008072 11_2011_003242
11_2010_006056 11_2009_000980
11_2009_003849 11_2009_004094
11_2010_002742 11_2009_004094
11_2010_002714 11_2010_002742
11_2008_001083 11_2011_002241
11_2009_002452 11_2008_005070
11_2010_001511 11_2010_002742
11_2010_003531 11_2009_002055
11_2010_003976 11_2010_000001
11_2009_004890 11_2008_000043
11_2008_007402 11_2010_002742
11_2007_007651 11_2010_002269
11_2010_000001 11_2008_004834
11_2010_005654 11_2010_005170
11_2009_000834 11_2011_002241
11_2011_000847 11_2009_003759
11_2008_004834 11_2009_002816
11_2011_001616 11_2011_002994
11_2008_004289 11_2010_002714
11_2008_002892 11_2008_005257
11_2007_002668 11_2008_001083
11_2009_004499 11_2009_002055
11_2010_003325 11_2008_001077
11_2009_002044 11_2009_002579
11_2009_003123 11_2010_002721
11_2009_005080 11_2009_004499
11_2010_003002 11_2007_003011
11_2010_004597 11_2010_005349
11_2011_002241 11_2010_003531
11_2010_005349 11_2008_006108
11_2010_002520 11_2009_002579
11_2011_000492 11_2007_001430
11_2010_002639 11_2009_002816
11_2011_001819 11_2011_002994
11_2008_005070 11_2008_001083
11_2011_003183 11_2010_005654
11_2011_003166 11_2011_002147
11_2009_003818 11_2009_001825
11_2010_004983 11_2009_004263
11_2009_001447 11_2009_005080
11_2009_004720 11_2007_001439
11_2011_001884 11_2011_003166
11_2007_004712 11_2010_003531
11_2009_002816 11_2009_004499
11_2010_003157 11_2008_003881
11_2009_001009 11_2008_002175
11_2011_001295 11_2010_002269
11_2010_005901 11_2007_005790
11_2009_003440 11_2009_000969
11_2009_004094 11_2010_004597
11_2008_002175 11_2009_003123
11_2008_002379 11_2007_001430
11_2007_003529 11_2007_002668
11_2011_002994 11_2009_000834
11_2009_002790 11_2008_000041
11_2008_000043 11_2011_001884
11_2008_008365 11_2010_005349
11_2009_000109 11_2009_000969
11_2007_000847 11_2011_000847
11_2010_004592 11_2010_000174
11_2009_000980 11_2009_002044
11_2007_001430 11_2010_005349
11_2008_004140 11_2010_000001
11_2010_002721 11_2011_001842
11_2008_006151 11_2008_002175
11_2007_008932 11_2009_004263
11_2010_002070 11_2009_003849
11_2008_004564 11_2010_005170
11_2007_005844 11_2008_006133
11_2011_002814 11_2010_006056
12_2010_000771 12_2009_000189
12_2010_005242 12_2008_007534
12_2010_001172 12_2008_005850
12_2010_004683 12_2008_007274
12_2010_005929 12_2010_001092
12_2008_006220 12_2008_002767
12_2008_004998 12_2010_002807
12_2007_004644 12_2010_005671
12_2009_001224 12_2010_000771
12_2008_003572 12_2010_001843
12_2010_001158 12_2008_005972
12_2010_002793 12_2009_004390
12_2009_000282 12_2009_002728
12_2008_004427 12_2009_003277
12_2011_000961 12_2008_002985
12_2010_002570 12_2010_005847
12_2008_006602 12_2008_007917
12_2010_005995 12_2010_001094
12_2009_000287 12_2008_007917
12_2008_007478 12_2007_007417
12_2009_000856 12_2010_005995
12_2010_003342 12_2010_000837
12_2008_004044 12_2010_000883
12_2009_004033 12_2008_007917
12_2010_003709 12_2011_001608
12_2010_000648 12_2008_003347
12_2008_001182 12_2010_004672
12_2010_000862 12_2009_003499
12_2010_000395 12_2010_000889
12_2008_004122 12_2010_005138
12_2010_005826 12_2010_005109
12_2008_005679 12_2010_001399
12_2010_001092 12_2010_005995
12_2010_004224 12_2008_006616
12_2008_005046 12_2008_000559
12_2008_001921 12_2008_005850
12_2008_004950 12_2010_004683
12_2009_002728 12_2010_001094
12_2010_002552 12_2008_004427
12_2008_005197 12_2010_005671
12_2009_003612 12_2007_005149
12_2010_001112 12_2009_005185
12_2008_000690 12_2010_001158
12_2010_005671 12_2008_006130
12_2010_001687 12_2010_004224
12_2008_000620 12_2010_005882
12_2008_007871 12_2010_004345
12_2010_003186 12_2010_003138
12_2010_001094 12_2008_005167
12_2008_002985 12_2009_004744
12_2009_003098 12_2008_006129
12_2010_000788 12_2010_001924
12_2009_003786 12_2008_005860
12_2008_007321 12_2008_001921
12_2008_000559 12_2009_004688
12_2009_003499 12_2008_004044
12_2008_003347 12_2010_004830
12_2008_003286 12_2010_005847
12_2008_007534 12_2008_004122
12_2007_003604 12_2008_005363
12_2009_003277 12_2009_000770
12_2008_005850 12_2008_007871
12_2010_002067 12_2008_004702
12_2008_005137 12_2009_000282
12_2010_003375 12_2010_001891
12_2008_006616 12_2010_004248
12_2010_005847 12_2008_004702
12_2010_001326 12_2010_003465
12_2008_005194 12_2008_006602
12_2010_000842 12_2008_005860
12_2010_004672 12_2008_005194
12_2010_001924 12_2010_004224
12_2009_004688 12_2011_001608
12_2011_001054 12_2010_004021
12_2010_000761 12_2008_005850
12_2008_003101 12_2009_002893
12_2009_002893 12_2010_004162
12_2009_000029 12_2010_003465
12_2008_005382 12_2010_001293
12_2008_005800 12_2010_004345
12_2010_000574 12_2009_000189
12_2007_003373 12_2008_001182
12_2010_002759 12_2010_001172
12_2008_003978 12_2008_008622
12_2008_002767 12_2009_004889
12_2010_001543 12_2010_004021
12_2008_005167 12_2009_000282
12_2010_004345 12_2008_006616
12_2008_004763 12_2010_005109
12_2010_005109 12_2010_001229
12_2007_009592 12_2010_000842
12_2010_003465 12_2009_001687
12_2010_005594 12_2011_001054
12_2010_005882 12_2008_004427
12_2010_005943 12_2008_004763
12_2009_004229 12_2010_000788
12_2010_004162 12_2009_000282
12_2010_001754 12_2010_005242
12_2008_008622 12_2010_001326
12_2010_002299 12_2008_000690
13_2008_003800 13_2008_007850
13_2008_008034 13_2009_000312
13_2009_000312 13_2008_008403
13_2008_005582 13_2010_004856
13_2008_008296 13_2010_005376
13_2008_008318 13_2010_000461
13_2009_002112 13_2009_005035
13_2007_000836 13_2008_000428
13_2010_000849 13_2011_001815
13_2010_003297 13_2011_000748
13_2010_004856 13_2009_000312
13_2011_000210 13_2009_000312
13_2008_000783 13_2008_007850
13_2010_000139 13_2008_006613
13_2008_008229 13_2011_001245
13_2010_003490 13_2007_006445
13_2008_003380 13_2008_000428
13_2009_003323 13_2009_004606
13_2008_007514 13_2008_008403
13_2008_003182 13_2008_003380
13_2008_007319 13_2008_008421
13_2009_000793 13_2008_007816
13_2009_002420 13_2008_007237
13_2008_008421 13_2010_005376
13_2008_001112 13_2008_006613
13_2008_008040 13_2011_002159
13_2008_005705 13_2008_007514
13_2010_004922 13_2008_003677
13_2009_003739 13_2009_005035
13_2008_000428 13_2009_002883
13_2008_007237 13_2008_003800
13_2008_003677 13_2008_000783
13_2007_006445 13_2010_004045
13_2010_001412 13_2010_000717
13_2010_004092 13_2010_005376
13_2009_002883 13_2009_005035
13_2009_004606 13_2008_005582
13_2011_003244 13_2008_008052
13_2008_007850 13_2008_007319
13_2008_003596 13_2009_003323
13_2010_000461 13_2011_001245
13_2011_000370 13_2008_005705
13_2008_000765 13_2010_004092
13_2009_001653 13_2009_005035
13_2008_002806 13_2008_008034
13_2011_002159 13_2009_002112
13_2010_005467 13_2009_001457
13_2011_001245 13_2008_008034
13_2009_005035 13_2009_002883
13_2011_001815 13_2009_002883
13_2009_001355 13_2011_002159
13_2008_005168 13_2008_001112
13_2011_000748 13_2009_001653
13_2009_001890 13_2011_000370
13_2010_004145 13_2008_000765
13_2009_001457 13_2009_000312
13_2010_005376 13_2007_006445
13_2008_006613 13_2008_008052
13_2010_004045 13_2009_003323
13_2008_001464 13_2008_000428
13_2011_003184 13_2009_002883
13_2008_001068 13_2010_000139
13_2008_008403 13_2008_007850
13_2010_000717 13_2008_003596
13_2008_008052 13_2008_005582
13_2008_007816 13_2008_003800
13_2009_003734 13_2010_005467
14_2008_003334 14_2008_006776
14_2008_003844 14_2008_003151
14_2008_008154 14_2009_000223
14_2008_007488 14_2011_000927
14_2009_002317 14_2008_008466
14_2009_004868 14_2007_005989
14_2008_006776 14_2008_004554
14_2008_004036 14_2008_003769
14_2008_008227 14_2008_002774
14_2008_003618 14_2008_005423
14_2008_001586 14_2009_002216
14_2010_002396 14_2009_004868
14_2008_000143 14_2009_000280
14_2008_002209 14_2011_001629
14_2011_000496 14_2010_001472
14_2008_003820 14_2011_001765
14_2009_000223 14_2010_004066
14_2007_002823 14_2008_002774
14_2008_005423 14_2010_004066
14_2008_005429 14_2011_000053
14_2008_008058 14_2011_000053
14_2007_009756 14_2008_005000
14_2008_005593 14_2009_003446
14_2008_005000 14_2008_004554
14_2008_003249 14_2011_000496
14_2008_006345 14_2008_003479
14_2008_004611 14_2008_002804
14_2009_000726 14_2008_003844
14_2011_002252 14_2008_002752
14_2009_003446 14_2008_008058
14_2011_000053 14_2010_000695
14_2008_002752 14_2008_007138
14_2008_003479 14_2008_000854
14_2008_000203 14_2009_002216
