11_2011_002940 11_2009_004312
11_2010_004467 11_2007_000830
11_2011_002650 11_2011_001220
11_2008_007048 11_2011_001847
11_2007_000830 11_2009_001867
11_2010_001271 11_2011_002531
11_2008_001413 11_2011_002650
11_2011_000361 11_2009_001867
11_2011_001847 11_2011_001220
11_2009_003961 11_2009_000212
11_2011_001220 11_2009_000212
11_2009_001867 11_2008_001413
11_2009_004312 11_2011_000361
11_2009_000212 11_2011_001220
11_2009_002003 11_2010_001271
11_2011_002531 11_2011_001220
11_2007_004405 11_2010_001271
11_2010_003154 11_2011_000361
11_2008_002903 11_2010_001271
12_2008_005379 12_2010_004795
12_2008_002227 12_2011_002298
12_2010_005898 12_2009_005225
12_2010_001216 12_2009_000156
12_2009_004581 12_2010_004339
12_2008_006743 12_2008_007378
12_2009_000892 12_2009_002445
12_2008_000273 12_2010_004970
12_2010_000681 12_2010_003269
12_2011_002371 12_2010_003406
12_2008_002638 12_2008_001478
12_2011_001877 12_2010_000681
12_2008_000019 12_2007_001397
12_2009_002539 12_2009_003369
12_2010_003269 12_2009_004425
12_2008_005082 12_2009_004264
12_2008_005728 12_2007_001397
12_2008_000336 12_2007_001397
12_2008_002307 12_2010_004339
12_2009_004425 12_2011_001877
12_2008_000863 12_2010_002042
12_2007_009889 12_2008_005379
12_2008_003852 12_2008_003497
12_2009_005225 12_2008_005082
12_2010_003987 12_2011_000045
12_2008_005845 12_2010_001709
12_2007_001397 12_2008_007378
12_2010_004797 12_2008_003497
12_2008_007513 12_2010_004970
12_2009_004628 12_2008_006315
12_2008_001137 12_2009_001828
12_2011_001464 12_2010_000716
12_2009_000156 12_2007_008415
12_2010_000716 12_2008_001478
12_2009_003063 12_2009_004628
12_2008_001478 12_2010_003114
12_2007_003872 12_2009_004961
12_2010_002042 12_2008_002638
12_2010_004795 12_2010_004339
12_2011_000045 12_2008_006743
12_2011_003256 12_2008_007378
12_2009_003369 12_2010_003406
12_2010_004339 12_2009_000892
12_2009_001828 12_2008_002307
12_2008_006315 12_2010_000681
12_2009_004264 12_2008_000863
12_2011_001014 12_2009_000989
12_2010_001301 12_2007_008415
12_2009_002445 12_2010_000681
12_2011_002298 12_2009_000774
12_2010_004970 12_2008_006315
12_2009_000989 12_2009_000774
12_2010_005419 12_2008_005379
12_2009_001124 12_2009_003063
12_2008_000080 12_2011_001014
12_2010_005522 12_2008_001137
12_2010_001709 12_2008_006743
12_2008_003776 12_2010_004797
12_2009_000002 12_2009_002445
12_2009_005107 12_2009_001828
12_2008_006981 12_2008_000863
12_2010_002856 12_2008_006981
12_2008_007378 12_2010_000716
12_2007_008415 12_2008_003852
12_2009_000774 12_2010_003406
12_2008_003497 12_2008_005728
12_2010_003114 12_2011_002371
12_2010_000983 12_2008_006743
12_2009_004961 12_2008_000863
12_2010_001279 12_2009_000892
12_2010_003406 12_2010_005898
12_2010_002105 12_2008_006743
13_2007_008596 13_2007_008802
13_2008_002172 13_2009_000934
13_2010_005270 13_2011_000612
13_2008_005702 13_2007_008596
13_2010_006062 13_2007_008142
13_2009_000100 13_2008_004687
13_2011_000147 13_2009_002416
13_2009_001433 13_2010_005270
13_2008_000403 13_2010_006062
13_2008_000499 13_2007_006151
13_2007_009251 13_2009_001184
13_2008_005473 13_2011_001656
13_2009_001184 13_2008_004470
13_2009_000409 13_2007_008142
13_2008_004175 13_2008_005501
13_2008_008193 13_2011_000147
13_2011_001656 13_2008_002338
13_2009_003481 13_2008_000499
13_2007_001960 13_2008_000912
13_2008_006028 13_2011_001625
13_2008_006219 13_2011_000147
13_2008_004470 13_2011_000982
13_2008_004649 13_2008_003782
13_2008_003782 13_2008_008193
13_2007_008142 13_2009_000100
13_2008_000371 13_2007_006151
13_2008_000912 13_2007_002273
13_2009_000705 13_2008_000499
13_2008_004687 13_2009_003481
13_2008_006096 13_2008_000499
13_2011_000675 13_2011_000147
13_2011_000982 13_2008_000499
13_2008_005501 13_2008_007392
13_2011_000612 13_2007_009841
13_2007_002273 13_2008_004649
13_2009_000934 13_2009_000012
13_2011_001625 13_2010_006062
13_2007_009841 13_2009_002416
13_2008_005691 13_2007_002273
13_2008_002338 13_2008_005702
13_2009_000012 13_2007_002273
13_2008_008453 13_2011_001656
13_2008_002509 13_2008_000912
13_2008_007392 13_2009_001433
13_2007_008802 13_2009_001184
13_2008_004911 13_2011_000612
13_2009_002416 13_2009_000409
13_2007_006151 13_2007_008142
14_2010_005366 14_2010_002251
14_2008_006708 14_2009_002651
14_2009_004117 14_2011_002476
14_2008_007190 14_2010_005366
14_2008_005243 14_2007_006585
14_2009_003012 14_2009_003522
14_2009_003522 14_2008_008525
14_2008_008416 14_2009_005078
14_2009_004738 14_2008_001727
14_2010_004042 14_2008_001727
14_2008_004703 14_2009_001764
14_2008_000545 14_2010_002747
14_2008_007485 14_2009_000730
14_2009_000894 14_2008_000545
14_2010_002747 14_2007_006585
14_2011_000651 14_2011_002476
14_2011_000285 14_2009_003522
14_2010_001986 14_2010_004042
14_2008_001727 14_2008_008525
14_2011_002476 14_2011_000651
14_2010_002251 14_2009_003012
14_2009_005078 14_2009_004738
14_2007_006585 14_2008_005245
14_2008_008525 14_2007_009938
14_2008_008127 14_2008_000545
14_2007_009938 14_2008_000545
14_2009_002651 14_2011_000285
14_2009_000730 14_2010_001986
14_2009_003539 14_2008_007190
14_2009_000119 14_2008_005243
14_2008_005245 14_2008_008127
14_2009_005247 14_2010_002747
14_2010_004289 14_2008_008525
14_2009_001764 14_2009_005078
14_2008_002383 14_2010_001986
15_2011_000471 15_2008_000953
15_2008_000700 15_2011_000589
15_2008_000778 15_2009_005247
15_2008_001970 15_2010_002396
15_2009_002273 15_2008_004391
15_2008_004036 15_2008_007556
15_2010_005403 15_2008_005043
15_2011_002969 15_2007_007878
15_2008_003745 15_2011_001966
15_2009_003012 15_2010_005619
15_2009_000525 15_2008_006519
15_2008_002794 15_2007_008219
15_2010_000148 15_2008_004182
15_2011_000453 15_2009_004508
15_2007_002378 15_2008_000516
15_2008_002929 15_2008_005055
15_2009_002569 15_2011_000453
15_2008_001751 15_2011_002556
15_2008_005156 15_2009_001384
15_2011_001422 15_2008_007882
15_2011_001456 15_2009_002273
15_2010_004828 15_2011_000630
15_2008_007646 15_2011_000927
15_2011_002553 15_2008_006613
15_2008_000222 15_2011_001467
15_2008_000971 15_2011_001529
15_2008_000036 15_2008_003722
15_2008_006844 15_2011_000471
15_2011_001124 15_2008_001928
15_2008_008708 15_2008_000259
15_2009_003150 15_2009_002524
15_2008_005650 15_2010_004828
15_2007_002668 15_2009_005035
15_2009_002088 15_2008_003451
15_2010_002396 15_2008_002555
15_2011_001467 15_2010_005276
15_2011_002301 15_2008_003925
15_2008_006519 15_2008_001531
15_2009_004432 15_2008_003925
15_2010_000462 15_2009_005035
15_2009_001852 15_2008_008487
15_2011_001567 15_2008_000392
15_2008_005738 15_2007_002378
15_2007_008219 15_2010_005389
15_2008_000259 15_2008_004649
15_2008_001119 15_2008_002929
15_2009_003379 15_2009_001384
15_2008_004649 15_2011_001060
15_2011_001529 15_2008_002495
15_2008_001812 15_2010_005646
15_2008_007348 15_2008_002774
15_2011_000628 15_2009_001971
15_2008_007222 15_2008_003925
15_2008_006834 15_2008_008487
15_2008_005000 15_2011_001124
15_2009_005035 15_2008_000609
15_2008_003722 15_2008_006798
15_2008_002774 15_2008_000365
15_2011_000630 15_2011_000927
15_2008_003732 15_2008_001928
15_2011_000069 15_2009_002556
15_2010_000052 15_2010_003072
15_2008_005742 15_2008_001306
15_2008_001523 15_2011_002551
15_2008_003978 15_2008_002783
15_2008_002451 15_2008_005055
15_2008_008210 15_2008_003140
15_2010_001142 15_2008_000609
15_2009_002524 15_2008_003107
15_2008_006613 15_2008_000510
15_2011_002042 15_2008_001970
15_2008_008757 15_2011_001124
15_2010_000792 15_2008_004649
15_2009_005265 15_2010_005500
15_2011_002556 15_2008_001306
15_2008_003925 15_2007_003580
15_2007_006864 15_2008_000510
15_2011_002610 15_2011_002301
15_2008_005243 15_2008_000480
15_2007_005430 15_2007_006661
15_2008_001825 15_2010_003072
15_2010_001921 15_2010_001762
15_2008_002482 15_2008_003333
15_2011_000927 15_2008_000510
15_2011_001966 15_2010_005826
15_2008_003451 15_2008_006148
15_2010_005500 15_2008_006467
15_2007_007878 15_2008_004182
15_2008_008127 15_2009_001852
15_2009_002556 15_2009_000763
15_2008_000474 15_2007_006864
15_2008_006148 15_2008_002830
15_2011_000142 15_2011_000453
15_2008_002436 15_2010_001986
15_2008_004703 15_2008_001751
15_2007_006661 15_2008_000392
15_2009_000730 15_2008_007593
15_2009_000074 15_2009_003150
15_2008_003140 15_2010_003072
15_2007_003910 15_2008_006798
