16_2009_003671 16_2010_005305
16_2009_002755 16_2007_007130
16_2008_002882 16_2008_004661
16_2008_006820 16_2007_005266
16_2011_002927 16_2011_000010
16_2009_005086 16_2007_004707
16_2011_001928 16_2008_001784
16_2007_001154 16_2008_008770
16_2007_009068 16_2010_001111
16_2009_004228 16_2011_001719
16_2010_004825 16_2010_003597
16_2007_003778 16_2007_001420
16_2011_002318 16_2007_001420
16_2011_003205 16_2009_003642
16_2009_001000 16_2009_004979
16_2010_002632 16_2008_007701
16_2008_001078 16_2007_007130
16_2011_001005 16_2007_007130
16_2008_005914 16_2011_002927
16_2011_002784 16_2009_004228
16_2010_001851 16_2008_008402
16_2008_000284 16_2007_000661
16_2008_002098 16_2008_008770
16_2008_001283 16_2011_000196
16_2011_001382 16_2011_001011
16_2008_005608 16_2010_005628
16_2008_006611 16_2010_001785
16_2009_001684 16_2007_001154
16_2011_000196 16_2009_004990
16_2007_007130 16_2011_002784
16_2011_001766 16_2011_003205
16_2010_002055 16_2010_004825
16_2009_002698 16_2008_007701
16_2007_003367 16_2009_002083
16_2010_001785 16_2010_002632
16_2007_009252 16_2008_007364
16_2010_001479 16_2011_003205
16_2010_005628 16_2009_004979
16_2007_000661 16_2009_002698
16_2007_001420 16_2007_009068
16_2008_004661 16_2009_003507
16_2008_001784 16_2011_001719
16_2010_005158 16_2007_005266
16_2011_001719 16_2011_002318
16_2011_000747 16_2009_003507
16_2009_001303 16_2007_000661
16_2008_001467 16_2009_003198
16_2009_003507 16_2008_001467
16_2008_008402 16_2009_004228
16_2008_007701 16_2010_005628
16_2008_005897 16_2011_001928
16_2007_004707 16_2008_000284
16_2008_002119 16_2008_008402
16_2009_004032 16_2010_004712
16_2007_001408 16_2009_002083
16_2007_007890 16_2007_007795
16_2010_003861 16_2007_007795
16_2008_003051 16_2007_005266
16_2009_002584 16_2007_003778
16_2010_005758 16_2008_003051
16_2011_001726 16_2009_003671
16_2010_005305 16_2008_005897
16_2009_004438 16_2008_001784
16_2007_005266 16_2010_001547
16_2008_000465 16_2008_004661
16_2009_004404 16_2011_002318
16_2009_004990 16_2011_001719
16_2011_000823 16_2010_002632
16_2008_007364 16_2009_002755
16_2010_004910 16_2009_004168
16_2009_003819 16_2008_007701
16_2010_000968 16_2008_005897
16_2008_003135 16_2010_001851
16_2011_000010 16_2010_001547
16_2007_007795 16_2009_002083
16_2009_003251 16_2009_000505
16_2008_008338 16_2009_005086
16_2008_005001 16_2008_008402
16_2007_004275 16_2010_005158
16_2010_001547 16_2010_003861
16_2009_000505 16_2010_001111
16_2010_001111 16_2009_002083
16_2009_002083 16_2007_000661
16_2010_004712 16_2009_001000
16_2009_004979 16_2010_004825
16_2008_008770 16_2011_000823
16_2007_003189 16_2010_000968
16_2009_004168 16_2011_001382
16_2010_004933 16_2007_000661
16_2011_003103 16_2008_002119
16_2010_003597 16_2007_001408
16_2011_000391 16_2010_004825
16_2009_004050 16_2010_001111
16_2011_001011 16_2011_001726
16_2009_005006 16_2009_002698
16_2009_003642 16_2008_000465
16_2009_003198 16_2008_003135
17_2009_004181 17_2010_001257
17_2010_002176 17_2008_005505
17_2010_001257 17_2008_005447
17_2008_007693 17_2008_005505
17_2010_004067 17_2010_001179
17_2008_002061 17_2010_001179
17_2011_000332 17_2007_001416
17_2007_009320 17_2008_005447
17_2009_001505 17_2010_004560
17_2007_005058 17_2011_000332
17_2008_005505 17_2008_005447
17_2011_002662 17_2008_005505
17_2010_000089 17_2010_001179
17_2010_003670 17_2007_005058
17_2010_002039 17_2010_002628
17_2007_007621 17_2008_006892
17_2010_004704 17_2010_001257
17_2010_000970 17_2010_002039
17_2010_006026 17_2008_006892
17_2010_001179 17_2010_006026
17_2008_006570 17_2010_002039
17_2008_006892 17_2010_001257
17_2010_004560 17_2007_009320
17_2007_001416 17_2008_002061
17_2008_005447 17_2011_000332
17_2010_002628 17_2009_004181
18_2011_001914 18_2010_003822
18_2009_001961 18_2009_003545
18_2009_001241 18_2010_001066
18_2009_003835 18_2009_001241
18_2010_001586 18_2007_002426
18_2011_002335 18_2008_001333
18_2011_001980 18_2011_001932
18_2008_002508 18_2008_006389
18_2010_003556 18_2011_001980
18_2008_002092 18_2011_001932
18_2011_001932 18_2009_002611
18_2010_004358 18_2007_002055
18_2009_001577 18_2010_001066
18_2009_003545 18_2011_002335
18_2008_008578 18_2007_009068
18_2010_003822 18_2007_002055
18_2011_001215 18_2010_001066
18_2010_003014 18_2009_003656
18_2009_002681 18_2009_001775
18_2010_001066 18_2009_002611
18_2007_002055 18_2009_001961
18_2008_006389 18_2009_003656
18_2009_001775 18_2009_004140
18_2009_003656 18_2009_000505
18_2009_002611 18_2007_002055
18_2009_002346 18_2007_005266
18_2010_005991 18_2011_001215
18_2007_002426 18_2009_003835
18_2009_004180 18_2007_002055
18_2011_000572 18_2009_004140
18_2010_000694 18_2009_004180
18_2009_003613 18_2011_001980
18_2010_000671 18_2009_000505
18_2009_004140 18_2010_003822
18_2010_003305 18_2010_001586
18_2009_000505 18_2011_001215
18_2008_001133 18_2011_000572
18_2007_005266 18_2011_001980
18_2007_009068 18_2009_003835
18_2009_000422 18_2007_005266
18_2007_009554 18_2008_008578
18_2008_008526 18_2009_002611
18_2008_001781 18_2010_003822
18_2008_001333 18_2009_000505
18_2010_004109 18_2008_001333
18_2008_008588 18_2009_001961
19_2007_006254 19_2011_000398
19_2010_002946 19_2010_000959
19_2011_000858 19_2009_004880
19_2010_000959 19_2008_007787
19_2008_005825 19_2008_007189
19_2009_004880 19_2008_005825
19_2010_004149 19_2010_000959
19_2011_002516 19_2010_006054
19_2008_003737 19_2008_000003
19_2010_005591 19_2010_001408
19_2010_001374 19_2010_002946
19_2008_008192 19_2007_004663
19_2010_001408 19_2010_002420
19_2008_008055 19_2010_001408
19_2008_007189 19_2009_003688
19_2009_001977 19_2008_008192
19_2011_000909 19_2010_005591
19_2010_003274 19_2008_002457
19_2008_000343 19_2009_004406
19_2009_003688 19_2010_001374
19_2008_002457 19_2008_007787
19_2011_000398 19_2008_003737
19_2007_004663 19_2008_000343
19_2008_000003 19_2007_004663
19_2009_003492 19_2010_004149
19_2009_003583 19_2009_003492
19_2009_003230 19_2008_005825
19_2010_005506 19_2010_004149
19_2009_000177 19_2011_002516
19_2009_004669 19_2009_003688
19_2008_008676 19_2010_003274
19_2009_004406 19_2007_004663
19_2008_008681 19_2008_008055
19_2010_002420 19_2008_000343
19_2009_003892 19_2010_006054
19_2010_006054 19_2008_005825
19_2008_007787 19_2010_001408
20_2011_002756 20_2008_008276
20_2009_004760 20_2009_000552
20_2008_008276 20_2009_001000
20_2009_002970 20_2011_003254
20_2011_002156 20_2008_001688
20_2010_002686 20_2008_006135
20_2008_006433 20_2008_003609
20_2011_000071 20_2007_009554
20_2010_004358 20_2011_001404
20_2007_001763 20_2008_004550
20_2008_007242 20_2011_003246
20_2011_001466 20_2010_002686
20_2008_003814 20_2010_005884
20_2011_000009 20_2008_007281
20_2008_004321 20_2008_004541
20_2007_001717 20_2008_004501
20_2009_001155 20_2008_008276
20_2009_001555 20_2010_004102
20_2008_003589 20_2010_004805
20_2010_004102 20_2009_003265
20_2007_009554 20_2011_002756
20_2010_004805 20_2010_005884
20_2009_001000 20_2010_005884
20_2010_005243 20_2010_004857
20_2008_001688 20_2010_004805
20_2008_004550 20_2007_006348
20_2010_005884 20_2008_005191
20_2011_003254 20_2011_002842
20_2009_000552 20_2008_002776
20_2008_003609 20_2011_000608
20_2008_007097 20_2011_002620
20_2011_002620 20_2007_001175
20_2011_000317 20_2011_001573
20_2011_002656 20_2008_006135
20_2008_006135 20_2008_004501
20_2010_000386 20_2009_001155
20_2009_003265 20_2009_001000
20_2007_006348 20_2010_004102
20_2011_002842 20_2009_001964
20_2008_004541 20_2010_005884
20_2008_004501 20_2011_000071
20_2008_002119 20_2009_001555
20_2011_001573 20_2008_004501
20_2011_003246 20_2008_004501
20_2011_001404 20_2008_002776
20_2008_007281 20_2009_000552
20_2008_000202 20_2011_002656
20_2007_002119 20_2010_000386
20_2008_005191 20_2010_004857
20_2007_001175 20_2008_006135
20_2009_001964 20_2008_002776
20_2008_002776 20_2008_002119
20_2011_002554 20_2011_002656
20_2011_000608 20_2008_001688
20_2010_001562 20_2008_004541
20_2010_004857 20_2010_002686
20_2008_005231 20_2007_001717
