1_2008_001774 1_2008_008263
1_2011_000807 1_2008_006548
1_2010_005059 1_2011_000243
1_2010_004938 1_2010_003361
1_2008_006564 1_2007_001288
1_2009_002320 1_2009_005031
1_2010_000572 1_2011_002222
1_2010_005877 1_2010_000392
1_2008_002221 1_2010_003737
1_2009_004626 1_2009_002674
1_2008_005491 1_2009_004626
1_2010_003361 1_2010_000572
1_2007_004052 1_2009_005189
1_2008_001971 1_2009_003806
1_2010_000229 1_2008_006213
1_2010_005888 1_2010_005059
1_2008_000197 1_2010_000572
1_2011_002929 1_2010_001413
1_2008_008146 1_2009_005031
1_2011_002222 1_2010_005059
1_2010_002892 1_2008_001774
1_2011_001133 1_2011_000586
1_2009_005189 1_2011_000586
1_2008_006548 1_2007_004009
1_2010_003915 1_2011_002284
1_2009_003806 1_2007_004009
1_2010_003680 1_2009_005189
1_2009_003799 1_2008_007442
1_2011_000586 1_2010_000229
1_2011_000243 1_2007_001288
1_2007_001288 1_2008_006548
1_2007_000256 1_2008_005491
1_2009_001390 1_2010_003737
1_2010_000981 1_2008_006548
1_2007_007698 1_2010_004938
1_2008_006109 1_2008_004190
1_2008_004190 1_2011_002851
1_2008_006213 1_2011_002929
1_2010_003737 1_2009_005189
1_2010_000285 1_2011_000243
1_2008_006703 1_2007_004009
1_2010_002310 1_2008_001971
1_2011_002284 1_2011_001133
1_2010_005534 1_2010_000229
1_2008_006832 1_2010_000981
1_2007_007470 1_2010_000981
1_2010_001017 1_2008_006213
1_2011_002851 1_2010_003915
1_2008_003196 1_2010_000572
1_2010_001413 1_2011_001133
1_2009_002674 1_2008_006564
1_2010_002532 1_2010_003680
1_2008_007442 1_2011_000243
1_2009_000440 1_2008_006213
1_2008_005455 1_2011_002284
1_2009_005031 1_2010_002892
1_2008_008263 1_2009_000440
1_2007_004009 1_2008_005491
1_2010_000392 1_2008_007442
1_2008_005250 1_2007_007470
2_2011_003003 2_2010_003603
2_2008_008530 2_2008_007935
2_2008_003072 2_2008_005190
2_2007_005064 2_2009_003007
2_2008_004040 2_2010_004921
2_2009_004710 2_2010_003603
2_2010_003799 2_2010_000113
2_2008_007861 2_2008_003072
2_2009_002404 2_2008_004862
2_2009_003007 2_2009_004710
2_2009_002928 2_2010_004154
2_2008_001404 2_2010_003799
2_2010_005111 2_2008_007935
2_2008_008315 2_2008_008717
2_2008_005713 2_2008_008530
2_2009_002777 2_2010_000113
2_2010_003603 2_2010_000065
2_2008_005190 2_2007_007235
2_2008_007510 2_2010_000342
2_2009_003075 2_2009_002928
2_2008_004363 2_2008_008717
2_2010_000632 2_2010_004921
2_2010_001922 2_2008_002894
2_2010_000065 2_2010_005111
2_2010_003062 2_2010_000065
2_2007_006581 2_2008_004862
2_2008_001402 2_2008_004862
2_2009_000573 2_2008_007510
2_2010_004921 2_2009_000015
2_2010_004154 2_2010_000342
2_2008_000725 2_2009_003007
2_2010_000342 2_2010_000113
2_2009_001481 2_2010_000113
2_2011_001153 2_2010_003062
2_2010_003912 2_2010_004921
2_2008_007935 2_2008_004363
2_2010_001312 2_2009_000573
2_2008_008717 2_2009_003164
2_2007_007235 2_2007_006581
2_2009_003164 2_2011_000690
2_2011_000690 2_2009_002777
2_2009_000015 2_2009_003164
2_2007_007447 2_2008_005190
2_2009_003193 2_2008_005190
2_2008_004862 2_2007_007447
2_2009_002295 2_2009_003164
2_2011_002064 2_2010_001922
2_2010_000113 2_2008_001404
2_2008_002894 2_2009_001481
3_2008_002961 3_2008_006143
3_2008_001514 3_2007_007084
3_2008_001264 3_2010_004960
3_2009_002977 3_2010_004026
3_2008_004690 3_2009_001283
3_2007_007084 3_2011_000673
3_2009_004686 3_2008_006058
3_2007_003330 3_2010_005531
3_2011_000673 3_2009_002977
3_2007_006865 3_2009_002604
3_2007_001289 3_2007_007084
3_2011_002230 3_2011_000673
3_2008_001522 3_2008_006143
3_2011_002715 3_2007_007084
3_2010_000836 3_2007_003330
3_2009_004084 3_2008_001120
3_2008_002471 3_2008_001120
3_2007_003565 3_2008_006143
3_2009_000938 3_2008_001264
3_2009_000746 3_2007_006865
3_2009_004886 3_2011_000068
3_2009_001765 3_2008_000103
3_2008_002064 3_2011_000669
3_2009_004509 3_2008_004690
3_2011_000068 3_2008_001264
3_2011_001959 3_2008_008211
3_2009_002604 3_2007_001289
3_2009_001283 3_2008_003049
3_2010_004960 3_2009_002977
3_2008_000054 3_2009_000748
3_2008_008211 3_2009_004084
3_2008_004671 3_2010_004960
3_2011_000669 3_2009_001972
3_2009_003922 3_2009_005260
3_2009_005260 3_2009_000938
3_2010_004570 3_2008_001514
3_2009_000748 3_2011_001959
3_2009_001314 3_2010_005531
3_2008_006058 3_2009_002604
3_2008_006143 3_2009_002604
3_2010_005531 3_2009_004886
3_2010_002935 3_2009_003922
3_2008_000103 3_2011_002230
3_2008_001120 3_2008_000054
3_2008_001829 3_2009_005260
3_2010_004026 3_2011_001959
3_2011_003276 3_2009_002604
3_2010_001016 3_2009_004686
3_2008_003049 3_2009_002977
3_2009_002890 3_2008_001829
3_2009_001972 3_2007_001289
4_2010_003848 4_2007_004241
4_2010_005705 4_2010_001916
4_2009_000723 4_2007_009533
4_2008_007156 4_2007_000241
4_2008_005512 4_2010_003547
4_2007_008645 4_2009_003043
4_2007_006281 4_2008_002850
4_2011_001176 4_2008_005512
4_2011_003025 4_2011_002567
4_2007_000241 4_2011_002975
4_2008_001047 4_2007_000862
4_2007_009533 4_2008_002335
4_2010_003899 4_2007_008645
4_2011_002975 4_2008_005367
4_2008_002281 4_2008_006229
4_2011_003020 4_2008_006489
4_2007_004241 4_2008_006490
4_2008_005261 4_2009_003043
4_2008_006229 4_2009_003043
4_2009_003043 4_2011_003025
4_2008_002850 4_2011_002975
4_2008_005628 4_2007_006281
4_2008_004750 4_2011_000556
4_2008_001260 4_2008_002335
4_2008_002335 4_2010_001916
4_2008_006490 4_2009_003043
4_2008_006489 4_2008_000405
